,edit_count,sentiment,neg_sentiment
2018-02-19,3.8333333333333335,-0.37208907211504916,0.588941798941799
2018-02-20,3.933333333333333,-0.4046093570326687,0.6222751322751324
2018-02-21,3.8333333333333335,-0.3963463899627249,0.618941798941799
2018-02-22,3.8,-0.40743068063937166,0.6244973544973544
2018-02-23,3.7333333333333334,-0.4290128284495659,0.6356084656084656
2018-02-24,3.1666666666666665,-0.44379931052762367,0.643015873015873
2018-02-25,2.9,-0.43363153323767684,0.6221825396825397
2018-02-26,2.6666666666666665,-0.4086030121313201,0.5936111111111111
2018-02-27,2.8,-0.4020553479426437,0.5894444444444444
2018-02-28,2.7666666666666666,-0.36898120342029467,0.5561111111111111
2018-03-01,3.033333333333333,-0.3405108662501529,0.5412962962962964
2018-03-02,3.066666666666667,-0.30722479145284054,0.5412962962962964
2018-03-03,3.066666666666667,-0.30722479145284054,0.5412962962962964
2018-03-04,2.933333333333333,-0.2583495509679671,0.5135185185185186
2018-03-05,2.8666666666666667,-0.2592353514885461,0.4968518518518519
2018-03-06,2.6666666666666665,-0.24963183787685855,0.4746296296296297
2018-03-07,2.6333333333333333,-0.2164757786911947,0.44129629629629635
2018-03-08,2.6,-0.18824248897256676,0.407962962962963
2018-03-09,2.433333333333333,-0.1884602836823022,0.407962962962963
2018-03-10,2.433333333333333,-0.1884602836823022,0.407962962962963
2018-03-11,2.533333333333333,-0.2094236213024016,0.41796296296296304
2018-03-12,2.2666666666666666,-0.1862663376386519,0.38879629629629636
2018-03-13,2.466666666666667,-0.20578769252256113,0.3971296296296297
2018-03-14,2.533333333333333,-0.23184916382586518,0.4082407407407408
2018-03-15,2.5,-0.19852601493950245,0.37490740740740747
2018-03-16,2.6333333333333333,-0.21183221842403768,0.39990740740740743
2018-03-17,2.7333333333333334,-0.22287827172765026,0.42212962962962963
2018-03-18,2.533333333333333,-0.2179186655967324,0.4221296296296297
2018-03-19,2.3666666666666667,-0.20803213416426272,0.40212962962962967
2018-03-20,2.2666666666666666,-0.1979472752964055,0.3799074074074074
